Do kterého amerického fotbalového týmu odešel na závěr kariéry Pelé?;New York Cosmos;LA Galaxy;Los Angeles Aztecs;Dallas Tornado
Do kterého týmu přestoupil ze Sparty Petr Čech?;Stade Rennes;Lens;Chelsea FC;AS Monaco
Doplňte jméno bývalého hráče FC Barcelona: X______ Hernández;Xavi;Xabi;Xanti;Ximun
Doplňte jméno bývalého hráče Hamurgeru SV: U_____ Seeler;Uwe;Ulrich;Ulli;Urban
Doplňte jméno bývalého hráče Liverpoolu FC: I____ Rush;Ian;Ike;Isaac;Irving
Doplňte jméno bývalého hráče Manchesteru City: V_______ Kompany;Vincent;Valère;Valentin;Vivien
Doplňte jméno bývalého hráče Manchesteru City: Y______ Touré;Yaya;Yves;Youri;Yannic
Doplňte jméno bývalého hráče Manchesteru United: David B______;Beckham;Best;Bruce;Buchan
Doplňte jméno bývalého hráče Manchesteru United: W______ Rooney;Wayne;Warren;Wallace;Wilfred
Doplňte jméno bývalého hráče Realu Madrid: Z______ Zidane;Zinédine;Zacharie;Zaid;Ziyad
Doplňte jméno fotbalové legendy: D_____ Maradona;Diego;Domingo;David;Dani
Doplňte jméno fotbalové legendy: N_______ Bendtner;Nicklas;Niklas;Nikias;Nils
Doplňte jméno hráče Atlética Madrid: Luis S______;Suárez;Saúl;Santiago;Sánchez
Doplňte jméno hráče Barcelony: A_____ Griezmann;Antoine;Alain;André;Alexandre
Doplňte jméno hráče Barcelony: Gerard P____;Piqué;Pedro;Puyol;Paulinho
Doplňte jméno hráče PSG: L____ Messi;Lionel;León;Lorenzo;Luis
Doplňte jméno hráče Barcelony: O_____ Dembelé;Ousmane;Oscar;Olivier;Onésime
Doplňte jméno hráče Bayern Mnichov: R______ Lewandowski;Robert;Roman;Radzim;Radosław
Doplňte jméno hráče Evertonu FC: J____ Rodríguez;James;Juan;Julián;José
Doplňte jméno hráče Juventusu: C______ Ronaldo;Cristiano;Carlos;Cláudio;Casemiro
Doplňte jméno hráče Liverpoolu FC: M_______ Salah;Mohamed;Magdy;Majid;Malik
Doplňte jméno hráče Liverpoolu FC: Roberto F_______;Firmino;Fabinho;Fernandes;Fowler
Doplňte jméno hráče PSG: K______ Mbappé;Kylian;Kévin;Kanu;Kalidou
Doplňte jméno hráče Realu Madrid: T_____ Kroos;Toni;Thomas;Theo;Tim
Doplňte jméno hráče Realu Mardid: E____ Hazard;Eden;Edmé;Émeric;Étienne
Doplňte jméno hráče Realu Madrid: G____ Bale;Gareth;Gary;Griffith;Gerallt
Doplňte jméno hráče Tottenhamu Hotspur: H_____ Kane;Harry;Henry;Hugh;Hubert
Jak se jmenoval bývalý stadion Tottenhamu Hotspur?;White Hart Lane;Hotspur Stadium;Spurs Stadium;White Nest
Jak se jmenoval stadion, na kterém hrával Arsenal FC své domácí zápasy až do roku 2006?;Highbury;Woolwich;White Hart Lane;Boleyn Ground
Jak se jmenuje druhá nejprestižnější evropská fotbalová klubová soutěž?;Evropská liga;Pohár UEFA;Pohár Evropy;Evropský pohár
Jak se jmenuje dvojče Larse Bendera?;Sven;Felix;Liam;Jonas
Jak se jmenuje dvojče Svena Bendera?;Lars;Felix;Liam;Jonas
Jak se jmenuje fotbalový obránce Koulibaly?;Kalidou;Samuel;Clément;Douglas
Jak se jmenuje historicky nejstarší fotbalový pohár?;FA Cup;Copa del Rey;Carling Cup;Liga Mistrů/Pohár mistrů evropských zemí
Jak se jmenuje legendární brankář, který je otcem Kaspera Schmeichela?;Peter;Lars;Mikkel;Frederik
Jak se jmenuje legendární brněnský stadion, na kterém hrával místní tým až do roku 2001?;Za Lužánkami;Bazaly;Andrův Stadion;Ďolíček
Jak se jmenuje nejvyšší nizozemská fotbalová liga?;Eredivisie;Jupiter Pro League;Liga NOS;Super League
jak se jmenuje nejvyšší španělská fotbalová liga?;La Liga;Primeira Liga;Liga NOS;Copa del Rey
Jak se jmenuje nový stadion Tottenhamu Hotspur?;Tottenham Hostpur Stadium;White Hart Lane;Hotspur Nest;Wembley Stadium
Jak se jmenuje prezident Realu Madrid?;Florentino Pérez;Josep Maria Bartolomeu;Ramón Calderón;Lorenzo Sanz
Jak se jmenuje stadion fotbalového týmu Borussie Dortmund?;Signal Iduna Park;Borussia Stadium;Veltins Arena;Allianz Arena
Jak se jmenuje stadión Manchetseru City?;Etihad Stadium;Emirates Stadium;Sinobo Stadium;Old Trafford
Jaká přezdívka se pojí s fotbalovým klubem West Ham United?;Hammers;Gunners;Irons;Blades
Jaká společnost založila a sponzoruje fotbalový tým z Lipska hrající Bundesligu?;Red Bull;Big Schock;Monster;Semtex
Jaká země hostila EURO 2016?;Francie;Německo;Anglie;Portugalsko
Jaké číslo nosí na zádech obránce Liverpoolu Trent Alexander-Arnold?;66;3;21;42
Jaké číslo nosil v FC Barcelona Neymar?;11;7;9;10
Jaké číslo oblékal většinu profesionální kariéry fotbalový útočník Cristiano Ronaldo?;7;10;11;9
Jaké číslo oblékal většinu profesionální kariéry fotbalový útočník Lionel Messi?;10;7;9;11
Jaké je křestní jméno bývalého českého útočníka Siegla?;Horst;Jiří;Teodor;Zdeněk
Jaké je křestní jméno bývalého fotbalového reprezentanta a hráče Slavie nebo Sigmy Olmouc Vlčka?;Stanislav;Luděk;Jaromír;Libor
jaké je křestní jméno bývalého německého fotbalisty Ballacka?;Michael;Oliver;Fabian;Hermann
Jaké je křestní jméno fotbalového obránce Süleho?;Niklas;Tobias;Lars;Marco
Jaké je křestní jméno fotbalového trenéra Trpišovského?;Jindřich;Jan;Josef;Jakub
Jaké je křestní jméno fotbalového útočníka Vollanda?;Kevin;Marco;Philipp;Niklas
Jaké je křestní jméno francouzského obránce Lengleta?;Clément;Antoine;Claude;Jean-Antoine
Jaké je skutečné křestní jméno fotbalového kouče Pepa Guardioly?;Josep;Joaquín;Pedro;Felipe
Jaké národnosti byl Ferenc Puskás?;Maďarsko;Bulharsko;Rumunsko;Rakousko
Jaké národnosti je Diego Carlos?;Brazílie;Kolumbie;Argentina;Španělsko
Jaké národnosti je fotbalista Juan Cuadrado?;Kolumbie;Peru;Mexiko;Chile
Jaké národnosti je fotbalový obránce Dejan Lovren?;Chorvatsko;Srbsko;Černá Hora;Bosna a Hercegovina
Jaké národnosti je fotbalový útočník Bas Dost?;Nizozemsko;Portugalsko;Dánsko;Belgie
Jaké národnosti je fotbalový útočník Dominic Calvert-Lewin?;Anglie;USA;Skotsko;Jamajka
Jaké národnosti je fotbalový útočník Iago Aspas?;Španělsko;Mexiko;Kostarika;USA
Jaké národnosti je Thomas Meunier?;Belgie;Německo;Francie;Švýcarsko
Jaké tři soupeře dostala Slavia Praha ve skupinové fázi UEFA Champions League 2019/2020?;Barcelona, Dortmund, Inter;Real Madrid, Schalke, AS Řím;Chelsea, Sevilla, Genk;Bayern, Valencia, Lazio
Jaké zvíře najdeme ve znaku Bohemians 1905?;Klokana;Lva;Tygra;Koně
Jakou zemi reprezentoval Chicharito?;Mexiko;USA;Španělsko;Brazílie
Jakou zemi reprezentoval Claudio Pizarro?;Peru;Španělsko;Paraguay;Argentina
Jakou zemi reprezentoval Deco?;Portugalsko;Brazílie;Argentina;USA
Jakou zemi reprezentoval Eric Cantona?;Francie;Argentina;USA;Anglie
Jakou zemi reprezentoval Gary Cahill?;Anglie;Wales;Skotsko;Irsko
Jakou zemi reprezentoval John Terry?;Anglie;USA;Wales;Skotsko
Jakou zemi reprezentoval Luca Toni?;Itálie;Argentina;Španělsko;Portugalsko
Jakou zemi reprezentoval Michael Carrick?;Anglie;Skotsko;Wales;Severní Irsko
Jakou zemi reprezentoval Miroslav Klose?;Německo;Polsko;Česko;Litva
Jakou zemi reprezentoval Nemanja Vidić?;Srbsko;Chorvatsko;Bosna a Hercegovina;Černá Hora
Jakou zemi reprezentoval Rafael Márquez?;Mexiko;Španělsko;Argentina;Parguay
Jakou zemi reprezentoval Robin van Persie?;Nizozemsko;Belgie;Surinam;Írán
Jakou zemi reprezentoval Roy Keane?;Irsko;Skotsko;Wales;Anglii
Jakou zemi reprezentoval Wes Morgan?;Jamajku;USA;Anglii;Turecko
Jakou zemi reprezentuje André Silva?;Portugalsko;Španělsko;Brazílie;Argentina
Jakou zemi reprezentuje Ángel Correa?;Argentina;Španělsko;Uruguay;Paraguay
Jakou zemi reprezentuje Anthony Martial?;Francie;Anglie;USA;Turecko
Jakou zemi reprezentuje Antonio Rüdiger?;Německo;Itálie;Rakousko;Švýcarsko
Jakou zemi reprezentuje Ben Chilwell?;Anglie;Wales;USA;Austrálie
Jakou zemi reprezentuje Benjamin Mendy?;Francie;Belgie;DR Kongo;Nigérie
Jakou zemi reprezentuje Bruno Fernandes?;Portugalsko;Brazílie;Španělsko;Kolumbie
Jakou zemi reprezentuje Ciro Immobile?;Itálie;Španělsko;Argentina;USA
Jakou zemi reprezentuje Dani Olmo?;Španělsko;Chorvatsko;Itálie;Brazílie
Jakou zemi reprezentuje Dele Alli?;Anglie;USA;Egypt;Nový Zéland
Jakou zemi reprezentuje Divock Origi?;Belgie;Francie;Keňa;Kamerun
Jakou zemi reprezentuje Federico Chiesa?;Itálie;Argentina;Nizozemsko;Španělsko
Jakou zemi reprezentuje Ferran Torres?;Španělsko;Uruguay;Argentina;Paraguay
Jakou zemi reprezentuje fotbalista David Alaba?;Rakousko;Německo;Nigérie;Španělsko
Jakou zemi reprezentuje fotbalista Marquinhos?;Brazílie;Portuglasko;Španělsko;Argentina
Jakou zemi reprezentuje křídelní obránce Achraf Hakimi?;Maroko;Egypt;Turecko;Tunisko
Jakou zemi reprezentuje fotbalový záložník Henrikh Mkhitaryan?;Arménie;Albánie;Moldavsko;Gruzie
Jakou zemi reprezentuje Hakan Çalhanoğlu?;Turecko;Německo;Bulharsko;Maroko
Jakou zemi reprezentuje Heung-min Son?;Jižní Korea;Severní Korea;Japonsko;Čína
Jakou zemi reprezentuje Jan Oblak?;Slovinsko;Slovensko;Polsko;Bulharsko
Jakou zemi reprezentuje João Félix?;Portugalsko;Brazílie;Španělsko;USA
Jakou zemi reprezentuje Joshua Kimmich?;Německo;USA;Anglie;Austrálie
Jakou zemi reprezentuje Kalidou Koulibaly?;Senegal;DR Kongo;Belgie;Francie
Jakou zemi reprezentuje Kevin Volland?;Německo;Nizozemsko;Švýcarsko;Rakousko
Jakou zemi reprezentuje Kurt Zouma?;Francie;Belgie;Senegal;DR Kongo
Jakou zemi reprezentuje Lautaro Martínez?;Argentina;Chile;Španělsko;USA
Jakou zemi reprezentuje Luis Alberto?;Španělsko;Brazílie;Portugalsko;Mexiko
Jakou zemi reprezentuje Manuel Akanji?;Švýcarsko;Maroko;Německo;Nigérie
Jakou zemi reprezentuje Marc-André ter Stegen?;Německo;Nizozemsko;Dánsko;Švédsko
Jakou zemi reprezentuje Marco Asensio?;Španělsko;Maroko;Itálie;Alžírsko
Jakou zemi reprezentuje Mario Hermoso?;Španělsko;Uruguay;Argentina;Paraguay
Jakou zemi reprezentuje Michael Keane?;Anglie;Wales;Skotsko;Irsko
Jakou zemi reprezentuje Michy Batshuayi?;Belgie;Francie;Německo;Nizozemsko
Jakou zemi reprezentuje Milan Škriniar?;Slovensko;Slovinsko;Chorvatsko;Srbsko
Jakou zemi reprezentuje Nélson Semedo?;Portugalsko;Francie;USA;Španělsko
Jakou zemi reprezentuje Nico Elvedi?;Švýcarsko;Německo;Francie;Rakousko
Jakou zemi reprezentuje Nicolò Zaniolo?;Itálie;Španělsko;Švýcarsko;USA
Jakou zemi reprezentuje Philippe Coutinho?;Brazílie;Portugalsko;USA;Itálie
Jakou zemi reprezentuje Pierre-Emerick Aubameyang?;Gabon;Francie;Nigérie;Senegal
Jakou zemi reprezentuje Raphaël Guerreiro?;Portugalsko;Španělsko;Francie;Kolumbie
Jakou zemi reprezentuje Ricardo Pereira?;Portugalsko;Španělsko;Brazílie;Mexiko
Jakou zemi reprezentuje Robin Gosens?;Německo;Belgie;Nizozemsko;Švédsko
Jakou zemi reprezentuje Rodrigo de Paul?;Argentina;Uruguay;Itálie;Španělsko
Jakou zemi reprezentuje Rúben Dias?;Portugalsko;Brazílie;Španělsko;Mexiko
Jakou zemi reprezentuje Sadio Mané?;Senegal;Mali;Nigérie;Francie
Jakou zemi reprezentuje Saúl Ñíguez?;Španělsko;Argentina;Uruguay;Paraguay
Jakou zemi reprezentuje Sergej Milinković-Savić?;Srbsko;Chorvatsko;Bosna a Hercegovina;Černá Hora
Jakou zemi reprezentuje Sergio Agüero?;Argentina;Uruguay;Španělsko;Kolumbie
Jakou zemi reprezentuje Thiago Alcântara?;Španělsko;Brazílie;Argentina;USA
Jakou zemi reprezentuje Thibaut Courtois?;Belgie;Francie;Senegal;Mali
Jakou zemi reprezentuje Thorgan Hazard?;Belgie;Francie;Maroko;Egypt
Jakou zemi reprezentuje Tiemoué Bakayoko?;Francie;Mali;Nigérie;Belgie
Jakou zemi reprezentuje Wilfred Ndidi?;Nigérie;Kamerun;Francie;Senegal
Jakou zemi reprezentuje Willi Orban?;Maďarsko;Rakousko;Bulharsko;Německo
Jakou zemi reprezentuje Youri Tielemans?;Belgie;Francie;DR Kongo;Mali
Jaký je současný sponzorský název české nejvyšší fotbalové soutěže?;Fortuna:Liga;Gambrinus:Liga;ePojisteni.cz:Liga;Synot:Liga
Kdo byl kapitánem Francie na MS ve fotbale 2018?;Hugo Lloris;Olivier Giroud;Blaise Matuidi;N'Golo Kanté
Kdo byl kapitánem Německa na MS 2018 ve fotbale?;Manuel Neuer;Mats Hummels;Philipp Lahm;Bastian Schweinsteiger
Kdo byl kapitánem Španělska na MS 2018 ve fotbale?;Sergio Ramos;David Silva;Andrés Iniesta;Gerard Piqué
Kdo je historicky nejdražším hráčem Interu Milano?;Romelu Lukaku;Hernán Crespo;Christian Vieri;Christian Eriksen
Kdo je historicky nejlepším střelcem argentinské fotbalové reprezentace?;Lionel Messi;Hernán Crespo;Diego Maradona;Gabriel Batistuta
Kdo je historicky nejlepším střelcem Arsenalu FC?;Thierry Henry;Ian Wright;Robin van Persie;Cliff Bastin
Kdo je historicky nejlepším střelcem brazilské fotbalové reprezentace?;Pelé;Neymar;Ronaldo;Romário
Kdo je historicky nejlepším střelcem Cheslea FC?;Frank Lampard;Eden Hazard;Bobby Tambling;Didier Drogba
Kdo je historicky nejlepším střelcem FC Barcelona?;Lionel Messi;László Kubala;Luis Suárez;Rivaldo
Kdo je historicky nejlepším střelcem francouzské fotbalové reprezentace?;Thierry Henry;Olivier Giroud;Michel Platini;David Trézéguet
Kdo je historicky nejlepším střelcem Liverpoolu FC?;Ian Rush;Robbie Fowler;Kenny Dalglish;Steven Gerrard
Kdo je historicky nejlepším střelcem Manchesteru City?;Sergio Agüero;Eric Brook;Tommy Johnson;Alan Oakes
Kdo je historicky nejlepším střelcem Manchesteru United?;Wayne Rooney;Bobby Charlton;Ryan Giggs;Denis Law
Kdo je historicky nejlepším střelcem Newcastlu United?;Alan Shearer;Jackie Milburn;Len White;Bill McCracken
Kdo je historicky nejlepším střelcem španělské fotbalové La Ligy?;Lionel Messi;Telmo Zarra;Cristiano Ronaldo;Raúl
Kdo je historicky nejlepším střelcem švédské fotbalové reprezentace?;Zlatan Ibrahimović;Gunnar Nordahl;Sven Rydell;Henrik Larsson
Kdo je historicky nejlepším střelcem Tottenhamu Hotspur?;Jimmy Greaves;Harry Kane;Jermain Defoe;Steve Perryman
Kdo je historicky nejlepším střelcem UEFA Champions League?;Cristiano Ronaldo;Lionel Messi;Raúl;Karim Benzema
Kdo je historicky nejmladším střelcem UEFA Champions League?;Ansu Fati;Lionel Messi;Bojan Krkić;Cesc Fábregas
Kdo je kapitánem Arsenalu FC?;Pierre-Emerick Aubameyang;Héctor Bellerín;Alexandre Lacazette;Granit Xhaka
Kdo je kapitánem Bayernu Mnichov?;Manuel Neuer;Thomas Müller;Javi Martínez;Jérôme Boateng
Kdo je kapitánem Chelsea FC?;César Azpilicueta;Jorginho;Thiago Silva;N'Golo Kanté
Kdo je kapitánem FC Barcelona?;Sergio Busquets;Gerard Piqué;Sergi Roberto;Jordi Alba
Kdo je kapitánem Juventusu FC?;Giorgio Chiellini;Leonardo Bonucci;Gianluigi Buffon;Cristiano Ronaldo
Kdo je kapitánem Manchesteru City?;Fernandinho;Kevin De Bruyne;Raheem Sterling;Sergio Agüero
Kdo je kapitánem Realu Madrid?;Marcelo;Karim Benzema;Raphaël Varane;Toni Kroos
Kdo je kapitánem Tottenhamu Hotspur?;Hugo Lloris;Harry Kane;Toby Alderweireld;Eric Dier
Kdo je kapitánem West Hamu?;Marc Noble;Łukasz Fabiański;Declan Rice;Tomáš Souček
Kdo je předsedou Slavie?;Jaroslav Tvrdík;Jiří Šímáně;Daniel Křetínský;Miroslav Pelta
Kdo je současným kapitánem Manchesteru United?;Harry Maguire;Marcus Rashford;David De Gea;Bruno Fernandes
Kdo se stal nejlepším střelcem EURO 2016?;Antoine Griezmann;Cristiano Ronaldo;Gareth Bale;Dimitri Payet
Kdo vstřelil jediný gól finále MS 2010 ve fotbale? (Španělsko 1:0 AET Nizozemsko);Andrés Iniesta;David Villa;Pedro;Fernando Torres
Kdo vstřelil rozhodující penaltu Československa ve finále ME ve fotbale 1976?;Antonín Panenka;Anton Ondruš;Zdeněk Nehoda;Marián Masný
Kdo vyhrál Ligu mistrů 2004/2005?;Liverpool FC;Porto FC;FC Barcelona;AC Milan
Kdo vyhrál Ligu mistrů 2005/2006?;FC Barcelona;Liverpool FC;Arsenal FC;AC Milan
Kdo vyhrál Ligu mistrů 2006/2007?;AC Milan;FC Barcelona;Real Madrid;Liverpool FC
Kdo vyhrál Ligu mistrů 2007/2008?;Manchester United;AC Milan;FC Barcelona;Chelsea FC
Kdo vyhrál Ligu mistrů 2008/2009?;FC Barcelona;Manchester United;Internazionale Milano;Chelsea FC
Kdo vyhrál Ligu mistrů 2009/2010?;Internazionale Milano;FC Barcelona;Manchester United;Chelsea FC
Kdo vyhrál Ligu mistrů 2010/2011?;FC Barcelona;Internazionale Milano;Manchester United;Chelsea FC
Kdo vyhrál Ligu mistrů 2011/2012?;Chelsea FC;Bayern Mnichov;Real Madrid;FC Barcelona
Kdo vyhrál Ligu mistrů 2012/2013?;Bayern Mnichov;Real Madrid;FC Barcelona;Borussia Dortmund
Kdo vyhrál Ligu mistrů 2013/2014?;Real Madrid;Bayern Mnichov;FC Barcelona;Atlético Madrid
Kdo vyhrál Ligu mistrů 2014/2015?;FC Barcelona;Real Madrid;Juventus FC;Atlético Madrid
Kdo vyhrál Ligu mistrů 2015/2016?;Real Madrid;Juventus FC;FC Barcelona;Atlético Madrid
Kdo vyhrál Ligu mistrů 2016/2017?;Real Madrid;Juventus FC;FC Barcelona;Atlético Madrid
Kdo vyhrál Ligu mistrů 2017/2018?;Real Madrid;Juventus FC;FC Barcelona;Liverpool FC
Kdo vyhrál Ligu mistrů 2018/2019?;Liverpool FC;Real Madrid;Bayern Mnichov;FC Barcelona
Kdo vyhrál Ligu mistrů 2019/2020?;Bayern Mnichov;Liverpool FC;Real Madrid;PSG
Kdo vyhrál MS ve fotbale 2002?;Brazílie;Německo;Itálie;Francie
Kdo vyhrál MS ve fotbale 2006?;Itálie;Brazílie;Španělsko;Francie
Kdo vyhrál MS ve fotbale 2010?;Španělsko;Itálie;Německo;Francie
Kdo vyhrál MS ve fotbale 2014?;Německo;Itálie;Brazílie;Francie
Kdo vyhrál MS ve fotbale 2018?;Francie;Německo;Chorvatsko;Brazílie
Kolik gólů vstřelil Robert Lewandowski během devíti minut v zápase Bundesligy proti Wolfsburgu?;5;4;6;9
Kolikátí skončili Češi na ME ve fotbale 1996?;2.;1.;3.;4.
Která automobilka vlastní německý fotbalový klub VfL Wolfsburg?;Volkswagen;Mercedes;Audi;BMW
Která barva je typická pro FK Jablonec?;Zelená;Modrá;Žlutá;Rudá
Která země hostila historicky první Mistrovství světa ve fotbale?;Uruguay;Brazílie;Itálie;Anglie
Která země hostila ME ve fotbale 1976?;Jugoslávie;Československo;Západní Německo;Portugalsko
Která země se zúčastnila všech MS ve fotbale?;Brazílie;Německo;Argentina;Uruguay
Které dvě země hostily EURO 2012?;Polsko a Ukrajina;Anglie a Wales;Rakousko a Švýcarsko;Chorvatsko a Slovinsko
Které dvě země hostily Mistrovství světa ve fotbale 2002?;Jižní Korea a Japonsko;Jižní Korea a Severní Korea;Čína a Japonsko;Čína a Severní Korea
Které týmy spolu sehrávají „Vršovické derby“?;Bohemians – Slavia;Bohemians – Dukla;Slavia – Žižkov;Dukla – Žižkov
Které zvíře najdeme ve znaku SS Lazia Řím?;Orel;Lev;Vlk;Delfín
Kterého hráče prodal Tottenham Hotspur za rekordní sumu?;Gareth Bale;Luka Modrić;Kyle Walker;Dimitar Berbatov
Kterému fotbalistovi se přezdívalo El Niño?;Fernando Torres;David Villa;Lionel Messi;Juan Mata
Kterému německému týmu pomohl vystřílet vítězství v Bundeslize brazilský útočník Grafite?;VfL Wolfsburg;Bayern Mnichov;VfB Stuttgart;Borussia Dortmund
Kterou zemi reprezentoval fotbalový obránce Stephan Lichtsteiner?;Švýcarsko;Itálii;Rakousko;Lichtenštejnsko
Kterou zemi reprezentoval fotbalový útočník George Best?;Severní Irsko;Anglii;Skotsko;Irsko
Kterou zemi reprezentoval fotbalový útočník Tim Cahill?;Austrálie;Nový Zéland;Samoa;USA
Kterou zemi reprezentuje fotbalista Josip Iličić?;Slovinsko;Chorvatsko;Srbsko;Švýcarsko
Kterou zemi reprezentuje fotbalista Stephan El Shaarawy?;Itálie;Egypt;Francie;Maroko
Kterou zemi reprezentuje fotbalový brankář Claudio Bravo?;Chile;Španělsko;Mexiko;Kostarika
Kterou zemi reprezentuje fotbalový brankář Keylor Navas?;Kostariku;Mexiko;USA;Španělsko
Kterou zemi reprezentuje fotbalový křídelník Gervinho?;Pobřeží slonoviny;Ghanu;Kolumbii;Brazílii
Kterou zemi reprezentuje fotbalový útočník Richarlison?;Brazílie;Island;Dánsko;USA
Kterou zemi reprezentuje Milot Rashica?;Kosovo;Moldavsko;Albánie;Švýcarsko
Který brankář historie Serie A drží nejdelší sérii minut bez inkasované branky (974 minut)?;Gianluigi Buffon;Dino Zoff;Sebastiano Rossi;Morgan De Sanctis
Který brankář jako jediný vyhrál Zlatý míč (Ballon d'Or)?;Lev Jašin;Gianluigi Buffon;Dino Zoff;Peter Schmeichel
Který brankář odchytal nejvíce v zápasů v UEFA Champions League?;Iker Casillas;Gianluigi Buffon;Petr Čech;Manuel Neuer
Který český fotbalista se roku 1996 umístil v anketě Zlatý míč (Ballon d'Or) na 10. místě?;Karel Poborský;Patrik Berger;Radek Bejbl;Tomáš Skuhravý
Který český hráč si připsal v UEFA Champions League nejvíce startů?;Petr Čech;Pavel Nedvěd;Tomáš Rosický;Vladimír Šmicer
Který fotbalový brankář si v historii anglické Premier League připsal nejvíce čistých kont?;Petr Čech;Kasper Schmeichel;David Seaman;David de Gea
Který fotbalový klub je považován FIFA i FA za nejstarší?;Sheffield FC;Everton FC;Cork City;Oxford FC
Který fotbalový tým má ve své sbírce nejvíce bundesligových titulů?;Bayern Mnichov;Schalke 04;Kaiserslautern;Borussia Dortmund
Který hráč byl nejlepším střelcem UEFA Champions League před Cristianem Ronaldem?;Raúl;Ruud van Nistelrooy;Thierry Henry;Filippo Inzaghi
Který hráč Chelsea obléká číslo 28?;César Azpilicueta;Kurt Zouma;Jorginho;Emerson
Který hráč Internazionale Milano si vstřelil ve finále UEFA Europa League 2019/2020 vlastní gól?;Romelu Lukaku;Diego Godín;Alessandro Bastoni;Samir Handanović
Který hráč jako jediný v historii Československa obdržel Zlatý míč (Ballon d'Or)?;Josef Masopust;Antonín Panenka;Josef Bican;František Plánička
Který hráč jako jediný vyhrál 3× Mistrovství světa ve fotbale?;Pelé;Sókrates;Ademir;Garrincha
Který hráč je idolem Marca Reuse?;Tomáš Rosický;Ronaldinho;Zinedine Zidane;Lothar Matthäus
Který hráč je kapitánem PSG?;Marquinhos;Thiago Silva;Keylor Navas;Marco Verratti
Který hráč Liverpoolu FC měl na sobě kapitánskou pásku ve finále Ligy mistrů 2019?;Jordan Henderson;Andrew Robertson;Roberto Firmino;Mohamed Salah
Který hráč nasázel v nejvyšší české fotbalové lize nejvíce hattricků?;David Lafata;Libor Došek;Horst Siegl;Milan Škoda
Který hráč nastoupil v dresu AC Milan do nejvyššího počtu zápasů?;Paolo Maldini;Césare Maldini;Franco Baresi;Alessandro Costacurta
Který hráč obdržel v historii španělské fotbalové ligy nejvíce červených karet?;Sergio Ramos;Fernando Amorebieta;David Navarro;Carlos Marchena
Který hráč odehrál nejvíce zápasů za italskou fotbalovou reprezentaci?;Gianluigi Buffon;Paolo Maldini;Andrea Pirlo;Fabio Cannavaro
Který hráč Realu Madrid zařídil vyrovnání ve finále Ligy mistrů 2014 v nastaveném čase?;Sergio Ramos;Ángel Di María;Gareth Bale;Cristiano Ronaldo
Který hráč rozhodl svým gólem finále EURO 2016? (Portugalsko 1:0 Francie);Éder;Cristiano Ronaldo;Ricardo Quaresma;Nani
Který hráč se stal nejlepším střelcem na MS 1970 ve fotbale?;Gerd Müller;Teófilo Cubillas;Jairzinho;Anatolij Byšovec
Který hráč si připsal nejvíce startů v dresu české fotbalové reprezentace?;Petr Čech;Tomáš Rosický;Milan Baroš;Tomáš Ujfaluši
Který hráč si připsal nejvíce startů v dresu dánské fotbalové reprezentace?;Peter Schmeichel;Michael Laudrup;Dennis Rommedahl;Christian Eriksen
Který hráč si ve fotbalovém týmu SSC Neapol připsal nejvíce startů?;Marek Hamšík;Antonio Juliano;Giuseppe Bruscolotti;José Callejón
Který hráč vstřelil jediný gól finále UEFA Champions League 1995? (Ajax Amsterdam 1:0 AC Milan);Patrick Kluivert;Jari Litmanen;Marc Overmars;Nwankwo Kanu
Který hráč vyhrál nejvíce titulů v anglické fotbalové Premier League?;Ryan Giggs;Paul Scholes;Gary Neville;Phil Neville
Který kouč nahradil v létě 2020 Quiquého Setiéna na lavičce FC Barcelona?;Ronald Koeman;Luis Enrique;Xavi;Ernsto Valverde
Který obránce zaznamenal během jedné sezóny anglické Premier League nejvíce asistencí?;Trent Alexander-Arnold;Marcos Alonso;César Azpilicueta;Andrew Robertson
Který pivovar byl hlavním sponzorem české nejvyšší fotbalové soutěže mezi lety 1997 a 2014?;Gambrinus;Staropramen;Zlatopramen;Budweiser Budvar
Který ruský tým má ve svém jméně slovo Arsenal?;Arsenal Tula;Arsenal Moskva;Arsenal Rudé armády;Arsenal Soči
Který ruský tým trénoval Pavel Vrba?;Anži Machačkala;Křídla sovětů Samara;Rubin Kazaň;Spartak Moskva
Který slovenský fotbalový tým se schovává pod přezdívkou „Šošoni“?;MŠK Žilina;FC ViOn Zlaté Moravce – Vráble;MFK Ružomberok;FK Pohronie
